gene_symbol,chromosome,gene_name,gene_count
APOE,19,"Apolipoprotein E",5
BAX,19,"BCL2-associated X protein",5
KIR2DL3,19,"Killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 3",5
KIR3DL2,19,"Killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 2",5
KLK2,19,"Kallikrein 2, prostatic",5
CYP2A13,19,"Cytochrome P450, family 2, subfamily A, polypeptide 13",5
CEBPA,19,"CCAAT/enhancer binding protein (C/EBP), alpha",5
KIR2DS4,19,"Killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 4",4
CD3EAP,19,"CD3E antigen, epsilon polypeptide associated protein",4
KIR2DL1,19,"Killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 1",4
KIR3DL3,19,"killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 3",3
KIR2DL4,19,"Killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 4",3
ICAM1,19,"Intercellular adhesion molecule 1 (CD54), human rhinovirus receptor",3
KIR2DL2,19,"Killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 2",3
LHB,19,"Luteinizing hormone beta polypeptide",3
ZNF350,19,"Zinc finger protein 350",3
PPP1R13L,19,"Protein phosphatase 1, regulatory (inhibitor) subunit 13 like",3
KIR2DS5,19,"Killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 3",2
KIR2DS2,19,"Killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 2",2
ICAM5,19,"Intercellular adhesion molecule 5, telencephalin",2
KLK3,19,"kallikrein 3",2
STK11,19,"Serine/threonine kinase 11 (Peutz-Jeghers syndrome)",2
CYP2F1,19,"Cytochrome P450, family 2, subfamily F, polypeptide 1",2
GPX4,19,"Glutathione peroxidase 4 (phospholipid hydroperoxidase)",2
FUT3,19,"Fucosyltransferase 3 (galactoside 3(4)-L-fucosyltransferase, Lewis blood group included)",2
ELA2,19,"Elastase 2, neutrophil",2
INSR,19,"Insulin receptor",2
POLD1,19,"Polymerase (DNA directed), delta 1, catalytic subunit 125kDa",2
KLK10,19,"Kallikrein 10",2
HPN,19,"Hepsin (transmembrane protease, serine 1)",2
PDCD5,19,"Programmed cell death 5",2
CCNE1,19,"Cyclin E1",1
CASP14,19,"Caspase 14, apoptosis-related cysteine peptidase",1
UQCRFS1,19,"Ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1",1
CDKN2D,19,"Cyclin-dependent kinase inhibitor 2D (p19, inhibits CDK4)",1
INSL3,19,"Insulin-like 3 (Leydig cell)",1
NER,19,"nuclear receptor subfamily 1, group H, member 2",1
HAS1,19,"Hyaluronan synthase 1",1
GIPC1,19,"GIPC PDZ domain containing family, member 1",1
PLAB,19,"Growth differentiation factor 15",1
KLK11,19,"Kallikrein 11",1
EMP3,19,"Epithelial membrane protein 3",1
KIR2DP1,19,"killer cell immunoglobulin-like receptor, two domains, pseudogene 1",1
TGFB,19,"transforming growth factor, beta 1",1
IRF3,19,"Interferon regulatory factor 3",1
KIR2DL5A,19,"killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 5",1
KLK12,19,"Kallikrein 12",1
KIR2DS1,19,"Killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 1",1
KIR2DS3,19,"killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 3",1
IL12RB1,19,"interleukin 12 receptor, beta 1",1
CYP2B6,19,"Cytochrome P450, family 2, subfamily B, polypeptide 6",1
GLTSCR1,19,"Glioma tumor suppressor candidate region gene 1",1
SULT2A1,19,"Sulfotransferase family, cytosolic, 2A, dehydroepiandrosterone (DHEA)-preferring, member 1",1
CYP1B1,2,"Cytochrome P450, family 1, subfamily B, polypeptide 1",63
MSH2,2,"MutS homolog 2, colon cancer, nonpolyposis type 1 (E. coli)",51
SRD5A2,2,"Steroid-5-alpha-reductase, alpha polypeptide 2 (3-oxo-5 alpha-steroid delta 4-dehydrogenase alpha 2)",49
IL1B,2,"Interleukin 1, beta",42
MSH6,2,"MutS homolog 6 (E. coli)",27
IL1RN,2,"Interleukin 1 receptor antagonist",25
UGT1A7,2,"UDP glycosyltransferase 1 family, polypeptide A7",18
UGT1A1,2,"UDP glycosyltransferase 1 family, polypeptide A1",15
CTLA4,2,"Cytotoxic T-lymphocyte-associated protein 4",11
IL1A,2,"Interleukin 1, alpha",11
BARD1,2,"BRCA1 associated RING domain 1",9
IRS1,2,"Insulin receptor substrate 1",7
XRCC5,2,"X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand-break rejoining; Ku autoantigen, 80kDa)",7
